index,input,output
0,-1.2,-0.442008
1,-1.19883,-0.44207
2,-1.19766,-0.442131
3,-1.19648,-0.442193
4,-1.19531,-0.442254
5,-1.19414,-0.442315
6,-1.19297,-0.442377
7,-1.19179,-0.442438
8,-1.19062,-0.442499
9,-1.18945,-0.44256
10,-1.18828,-0.442621
11,-1.1871,-0.442682
12,-1.18593,-0.442743
13,-1.18476,-0.442804
14,-1.18359,-0.442865
15,-1.18241,-0.442925
16,-1.18124,-0.442986
17,-1.18007,-0.443047
18,-1.1789,-0.443107
19,-1.17772,-0.443168
20,-1.17655,-0.443228
21,-1.17538,-0.443288
22,-1.17421,-0.443349
23,-1.17303,-0.443409
24,-1.17186,-0.443469
25,-1.17069,-0.443529
26,-1.16952,-0.443589
27,-1.16834,-0.443649
28,-1.16717,-0.443709
29,-1.166,-0.443769
30,-1.16483,-0.443829
31,-1.16365,-0.443888
32,-1.16248,-0.443948
33,-1.16131,-0.444008
34,-1.16014,-0.444067
35,-1.15896,-0.444127
36,-1.15779,-0.444186
37,-1.15662,-0.444245
38,-1.15545,-0.444305
39,-1.15427,-0.444364
40,-1.1531,-0.444423
41,-1.15193,-0.444482
42,-1.15076,-0.444541
43,-1.14958,-0.4446
44,-1.14841,-0.444659
45,-1.14724,-0.444718
46,-1.14607,-0.444777
47,-1.14489,-0.444835
48,-1.14372,-0.444894
49,-1.14255,-0.444953
50,-1.14138,-0.445011
51,-1.14021,-0.44507
52,-1.13903,-0.445128
53,-1.13786,-0.445186
54,-1.13669,-0.445245
55,-1.13552,-0.445303
56,-1.13434,-0.445361
57,-1.13317,-0.445419
58,-1.132,-0.445477
59,-1.13083,-0.445535
60,-1.12965,-0.445593
61,-1.12848,-0.445651
62,-1.12731,-0.445709
63,-1.12614,-0.445767
64,-1.12496,-0.445824
65,-1.12379,-0.445882
66,-1.12262,-0.44594
67,-1.12145,-0.445997
68,-1.12027,-0.446055
69,-1.1191,-0.446112
70,-1.11793,-0.446169
71,-1.11676,-0.446227
72,-1.11558,-0.446284
73,-1.11441,-0.446341
74,-1.11324,-0.446398
75,-1.11207,-0.446455
76,-1.11089,-0.446512
77,-1.10972,-0.446569
78,-1.10855,-0.446626
79,-1.10738,-0.446683
80,-1.1062,-0.44674
81,-1.10503,-0.446796
82,-1.10386,-0.446853
83,-1.10269,-0.446909
84,-1.10151,-0.446966
85,-1.10034,-0.447022
86,-1.09917,-0.447079
87,-1.098,-0.447135
88,-1.09682,-0.447191
89,-1.09565,-0.447248
90,-1.09448,-0.447304
91,-1.09331,-0.44736
92,-1.09213,-0.447416
93,-1.09096,-0.447472
94,-1.08979,-0.447528
95,-1.08862,-0.447584
96,-1.08745,-0.447639
97,-1.08627,-0.447695
98,-1.0851,-0.447751
99,-1.08393,-0.447806
100,-1.08276,-0.447862
101,-1.08158,-0.447918
102,-1.08041,-0.447973
103,-1.07924,-0.448028
104,-1.07807,-0.448084
105,-1.07689,-0.448139
106,-1.07572,-0.448194
107,-1.07455,-0.448249
108,-1.07338,-0.448305
109,-1.0722,-0.44836
110,-1.07103,-0.448415
111,-1.06986,-0.44847
112,-1.06869,-0.448524
113,-1.06751,-0.448579
114,-1.06634,-0.448634
115,-1.06517,-0.448689
116,-1.064,-0.448743
117,-1.06282,-0.448798
118,-1.06165,-0.448853
119,-1.06048,-0.448907
120,-1.05931,-0.448961
121,-1.05813,-0.449016
122,-1.05696,-0.44907
123,-1.05579,-0.449124
124,-1.05462,-0.449179
125,-1.05344,-0.449233
126,-1.05227,-0.449287
127,-1.0511,-0.449341
128,-1.04993,-0.449395
129,-1.04875,-0.449449
130,-1.04758,-0.449503
131,-1.04641,-0.449556
132,-1.04524,-0.44961
133,-1.04406,-0.449664
134,-1.04289,-0.449718
135,-1.04172,-0.449771
136,-1.04055,-0.449825
137,-1.03937,-0.449878
138,-1.0382,-0.449932
139,-1.03703,-0.449985
140,-1.03586,-0.450038
141,-1.03468,-0.450091
142,-1.03351,-0.450145
143,-1.03234,-0.450198
144,-1.03117,-0.450251
145,-1.03,-0.450304
146,-1.02882,-0.450357
147,-1.02765,-0.45041
148,-1.02648,-0.450463
149,-1.02531,-0.450516
150,-1.02413,-0.450568
151,-1.02296,-0.450621
152,-1.02179,-0.450674
153,-1.02062,-0.450726
154,-1.01944,-0.450779
155,-1.01827,-0.450831
156,-1.0171,-0.450884
157,-1.01593,-0.450936
158,-1.01475,-0.450988
159,-1.01358,-0.451041
160,-1.01241,-0.451093
161,-1.01124,-0.451145
162,-1.01006,-0.451197
163,-1.00889,-0.451249
164,-1.00772,-0.451301
165,-1.00655,-0.451353
166,-1.00537,-0.451405
167,-1.0042,-0.451457
168,-1.00303,-0.451509
169,-1.00186,-0.45156
170,-1.00068,-0.451612
171,-0.999511,-0.451663
172,-0.998339,-0.451715
173,-0.997167,-0.451767
174,-0.995994,-0.451818
175,-0.994822,-0.451869
176,-0.993649,-0.451921
177,-0.992477,-0.451972
178,-0.991304,-0.452023
179,-0.990132,-0.452074
180,-0.988959,-0.452126
181,-0.987787,-0.452177
